#SMILES Tg Molar_ratio Chemical_class Train_Katritzky Train_Epoxy Train_Global External_test
CC(C)(C)OC(=O)[CH:1]=[CH2:1].CC(C)(C)OC(=O)[CH:1]=[CH2:1] 315 0.5 5 yes no yes no
CCCCOC(=O)[CH:1]=[CH2:1].CCCCOC(=O)[CH:1]=[CH2:1] 219 0.5 5 yes no yes no
CCCCCCO[CH:1]=[CH2:1].CCCCCCO[CH:1]=[CH2:1] 209 0.5 4 yes no yes no
C[C:1](C)=[CH2:1].C[C:1](C)=[CH2:1] 199 0.5 2 yes no yes no
Cl[C:1](Cl)=[CH2:1].Cl[C:1](Cl)=[CH2:1] 256 0.5 6 yes no yes no
F[C:1](F)=[CH2:1].F[C:1](F)=[CH2:1] 233 0.5 6 yes no yes no
C[C:1](=[CH2:1])c1ccccc1.C[C:1](=[CH2:1])c1ccccc1 409 0.5 3 yes no yes no
COC(=O)[C:1](C)=[CH2:1].COC(=O)[C:1](C)=[CH2:1] 378 0.5 5 yes no yes no
CCOC(=O)[C:1](C)=[CH2:1].CCOC(=O)[C:1](C)=[CH2:1] 324 0.5 5 yes no yes no
CC(C)OC(=O)[C:1](C)=[CH2:1].CC(C)OC(=O)[C:1](C)=[CH2:1] 327 0.5 5 yes no yes no
CCOC(=O)[C:1](Cl)=[CH2:1].CCOC(=O)[C:1](Cl)=[CH2:1] 366 0.5 5 yes no yes no
C[C:1](=[CH2:1])C(=O)OCCCl.C[C:1](=[CH2:1])C(=O)OCCCl 365 0.5 5 yes no yes no
C[C:1](=[CH2:1])C(=O)OC(C)(C)C.C[C:1](=[CH2:1])C(=O)OC(C)(C)C 380 0.5 5 yes no yes no
C[C:1](=[CH2:1])C(=O)Oc1ccccc1.C[C:1](=[CH2:1])C(=O)Oc1ccccc1 393 0.5 5 yes no yes no
F[C:1](F)=[C:1](F)Cl.F[C:1](F)=[C:1](F)Cl 373 0.5 6 yes no yes no
[CH2:1]=[O:1].[CH2:1]=[O:1] 218 0.5 8 yes no yes no
C1[CH2:1][O:1]1.C1[CH2:1][O:1]1 206 0.5 8 yes no yes no
C1C[O:1][CH2:1]1.C1C[O:1][CH2:1]1 195 0.5 8 yes no yes no
C1C[CH2:1][O:1]C1.C1C[CH2:1][O:1]C1 190 0.5 8 yes no yes no
[OH:1]CC[OH:1].O[C:1](=O)c1ccc(cc1)[C:1](O)=O 345 0.5 10 yes no yes no
CCCCCCCCO[CH:1]=[CH2:1].CCCCCCCCO[CH:1]=[CH2:1] 194 0.5 4 yes no yes no
CCCCCCCCCCO[CH:1]=[CH2:1].CCCCCCCCCCO[CH:1]=[CH2:1] 197 0.5 4 yes no yes no
C1CCC[CH2:1][O:1]CCC1.C1CCC[CH2:1][O:1]CCC1 203 0.5 8 yes no yes no
C1CC[CH2:1][O:1]CC1.C1CC[CH2:1][O:1]CC1 204 0.5 8 yes no yes no
CCCCCO[CH:1]=[CH2:1].CCCCCO[CH:1]=[CH2:1] 207 0.5 4 yes no yes no
CCCCC(CC)CO[CH:1]=[CH2:1].CCCCC(CC)CO[CH:1]=[CH2:1] 207 0.5 4 yes no yes no
CCCCCCCCOC(=O)[CH:1]=[CH2:1].CCCCCCCCOC(=O)[CH:1]=[CH2:1] 208 0.5 5 yes no yes no
CCCCCCCCOC(=O)[C:1](C)=[CH2:1].CCCCCCCCOC(=O)[C:1](C)=[CH2:1] 253 0.5 5 yes no yes no
CCCCCCCOC(=O)[CH:1]=[CH2:1].CCCCCCCOC(=O)[CH:1]=[CH2:1] 213 0.5 5 yes no yes no
CCCCCCCCCOC(=O)[CH:1]=[CH2:1].CCCCCCCCCOC(=O)[CH:1]=[CH2:1] 216 0.5 5 yes no yes no
CCCCCCOC(=O)[CH:1]=[CH2:1].CCCCCCOC(=O)[CH:1]=[CH2:1] 216 0.5 5 yes no yes no
CCCCC[CH:1]=[CH2:1].CCCCC[CH:1]=[CH2:1] 220 0.5 2 yes no yes no
CCCCO[CH:1]=[CH2:1].CCCCO[CH:1]=[CH2:1] 221 0.5 4 yes no yes no
CCCOC(=O)[CH:1]=[CH2:1].CCCOC(=O)[CH:1]=[CH2:1] 229 0.5 5 yes no yes no
CC(C)CO[CH:1]=[CH2:1].CC(C)CO[CH:1]=[CH2:1] 251 0.5 4 yes no yes no
CCC(C)O[CH:1]=[CH2:1].CCC(C)O[CH:1]=[CH2:1] 253 0.5 4 yes no yes no
FC(F)(F)C(F)(F)[CH:1]=[CH2:1].FC(F)(F)C(F)(F)[CH:1]=[CH2:1] 314 0.5 6 yes no yes no
F[C:1](=[CH2:1])C(F)(F)F.F[C:1](=[CH2:1])C(F)(F)F 315 0.5 6 yes no yes no
C[C:1](=[CH2:1])C(=O)OCCC(C)(C)C.C[C:1](=[CH2:1])C(=O)OCCC(C)(C)C 318 0.5 5 yes no yes no
CCCCNC(=O)[CH:1]=[CH2:1].CCCCNC(=O)[CH:1]=[CH2:1] 319 0.5 5 yes no yes no
FC(F)(F)OC(=O)[CH:1]=[CH2:1].FC(F)(F)OC(=O)[CH:1]=[CH2:1] 319 0.5 5 yes no yes no
CC(C)[CH:1]=[CH2:1].CC(C)[CH:1]=[CH2:1] 323 0.5 2 yes no yes no
CCCCOC(=O)[C:1](Cl)=[CH2:1].CCCCOC(=O)[C:1](Cl)=[CH2:1] 330 0.5 5 yes no yes no
CCC(C)OC(=O)[C:1](C)=[CH2:1].CCC(C)OC(=O)[C:1](C)=[CH2:1] 330 0.5 5 yes no yes no
FC(F)(F)C(F)(F)C(F)(F)[CH:1]=[CH2:1].FC(F)(F)C(F)(F)C(F)(F)[CH:1]=[CH2:1] 331 0.5 6 yes no yes no
CCC(CC)OC(=O)[CH:1]=[CH2:1].CCC(CC)OC(=O)[CH:1]=[CH2:1] 257 0.5 5 yes no yes no
CC(C)CC[CH:1]=[CH2:1].CC(C)CC[CH:1]=[CH2:1] 259 0.5 2 yes no yes no
ClCC1(CCl)[CH2:1][O:1]C1.ClCC1(CCl)[CH2:1][O:1]C1 265 0.5 8 yes no yes no
CCCCCCOC(=O)[C:1](C)=[CH2:1].CCCCCCOC(=O)[C:1](C)=[CH2:1] 268 0.5 5 yes no yes no
CC(C)O[CH:1]=[CH2:1].CC(C)O[CH:1]=[CH2:1] 270 0.5 4 yes no yes no
CCCCc1ccc([CH:1]=[CH2:1])cc1.CCCCc1ccc([CH:1]=[CH2:1])cc1 279 0.5 3 yes no yes no
CCCCOC(=O)[C:1](C)=[CH2:1].CCCCOC(=O)[C:1](C)=[CH2:1] 293 0.5 5 yes no yes no
COCCOC(=O)[C:1](C)=[CH2:1].COCCOC(=O)[C:1](C)=[CH2:1] 293 0.5 5 yes no yes no
FC(F)(F)[CH:1]=[CH2:1].FC(F)(F)[CH:1]=[CH2:1] 300 0.5 6 yes no yes no
CC(C)C[CH:1]=[CH2:1].CC(C)C[CH:1]=[CH2:1] 302 0.5 2 yes no yes no
ClCC(=O)O[CH:1]=[CH2:1].ClCC(=O)O[CH:1]=[CH2:1] 304 0.5 4 yes no yes no
CCCOC(=O)[C:1](C)=[CH2:1].CCCOC(=O)[C:1](C)=[CH2:1] 306 0.5 5 yes no yes no
[CH2:1]=[CH:1]CC1CCCC1.[CH2:1]=[CH:1]CC1CCCC1 333 0.5 2 yes no yes no
[CH2:1]=[CH:1]Cc1ccccc1.[CH2:1]=[CH:1]Cc1ccccc1 333 0.5 2 yes no yes no
CCCOC(=O)[C:1](Cl)=[CH2:1].CCCOC(=O)[C:1](Cl)=[CH2:1] 344 0.5 5 yes no yes no
CCC(C)OC(=O)[C:1](Cl)=[CH2:1].CCC(C)OC(=O)[C:1](Cl)=[CH2:1] 347 0.5 5 yes no yes no
[CH2:1]=[CH:1]CC1CCCCC1.[CH2:1]=[CH:1]CC1CCCCC1 348 0.5 2 yes no yes no
[OH:1][CH:1]=[CH2:1].C[CH:1](O)O[CH:1]=[CH2:1] 355 0.5 4 yes no yes no
[OH:1][CH:1]=[CH2:1].O[CH2:1]O[CH:1]=[CH2:1] 378 0.5 4 yes no yes no
OC(COCC1[CH2:1]O1)COCC1[CH2:1]O1.CC1CC(CC2CCC([NH2:1])C(C)C2)CCC1[NH2:1] 351.2 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1cccc(c1)S(=O)(=O)c1cccc([NH2:1])c1 465 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.[NH2:1]c1cccc(c1)S(=O)(=O)c1cccc([NH2:1])c1 439 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1ccc(cc1)S(=O)(=O)c1ccc([NH2:1])cc1 490 0.666667 1 no yes yes no
C(CCOCC1[CH2:1]O1)COCC1[CH2:1]O1.[NH2:1]c1ccc(cc1)S(=O)(=O)c1ccc([NH2:1])cc1 350 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.[NH2:1]c1ccc(cc1)S(=O)(=O)c1ccc([NH2:1])cc1 463 0.666667 1 no yes yes no
C(Oc1ccc(cc1)N(CC1[CH2:1]O1)CC1[CH2:1]O1)C1[CH2:1]O1.[NH2:1]c1ccc(cc1)S(=O)(=O)c1ccc([NH2:1])cc1 523 0.571429 1 no yes yes no
C(C1[CH2:1]O1)N(CC1[CH2:1]O1)c1ccc(Cc2ccc(cc2)N(CC2[CH2:1]O2)CC2[CH2:1]O2)cc1.[NH2:1]c1ccc(cc1)S(=O)(=O)c1ccc([NH2:1])cc1 524 0.5 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CCN1CC[NH:1]CC1 383 0.6 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CCCC[NH2:1] 329 0.5 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CC([NH2:1])COCC(C)OCC(C)OCC(C)[NH2:1] 372 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.CC([NH2:1])COCC(C)OCC(C)OCC(C)[NH2:1] 357 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CC([NH2:1])COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)[NH2:1] 328 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.CC([NH2:1])COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)[NH2:1] 325 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CCCCCCCCCCCC[NH2:1] 368 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CCCC[NH2:1] 392 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CCCCCC[NH2:1] 380 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CCCCCCCC[NH2:1] 377 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CCC[NH2:1] 410 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.[NH2:1]CCC[NH2:1] 386 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CC1CC([NH2:1])CC(C)(C)C1 357 0.5 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1ccc(Cc2ccc([NH2:1])cc2)cc1 451 0.666667 1 no yes yes no
C(CCOCC1[CH2:1]O1)COCC1[CH2:1]O1.[NH2:1]c1ccc(Cc2ccc([NH2:1])cc2)cc1 355 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.[NH2:1]c1ccc(Cc2ccc([NH2:1])cc2)cc1 430 0.666667 1 no yes yes no
C(Oc1ccc(cc1)N(CC1[CH2:1]O1)CC1[CH2:1]O1)C1[CH2:1]O1.[NH2:1]c1ccc(Cc2ccc([NH2:1])cc2)cc1 494 0.571429 1 no yes yes no
C(C1[CH2:1]O1)N(CC1[CH2:1]O1)c1ccc(Cc2ccc(cc2)N(CC2[CH2:1]O2)CC2[CH2:1]O2)cc1.[NH2:1]c1ccc(Cc2ccc([NH2:1])cc2)cc1 505 0.5 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CC[NH:1]CC[NH2:1] 418 0.714286 1 no yes yes no
C(Oc1ccc(cc1)N(CC1[CH2:1]O1)CC1[CH2:1]O1)C1[CH2:1]O1.[NH2:1]C(=[NH:1])[NH:1]C#N 491 0.571429 1 no yes yes no
C(C1[CH2:1]O1)N(CC1[CH2:1]O1)c1ccc(Cc2ccc(cc2)N(CC2[CH2:1]O2)CC2[CH2:1]O2)cc1.[NH2:1]C(=[NH:1])[NH:1]C#N 531 0.5 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CC1CC(CC2CCC([NH2:1])C(C)C2)CCC1[NH2:1] 440 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CC[NH2:1] 383 0.666667 1 no yes yes no
C(CCOCC1[CH2:1]O1)COCC1[CH2:1]O1.[NH2:1]CC[NH2:1] 280 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1ccccc1 358 0.5 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CC1(C[NH2:1])CCCCC1 423 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.Cc1cc(Cc2cc(C)c([NH2:1])c(C)c2)cc(C)c1[NH2:1] 438 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CC(C)(c1ccc(Oc2ccc([NH2:1])cc2)cc1)c1ccc(Oc2ccc([NH2:1])cc2)cc1 442 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CC1(C)CC([NH2:1])CC(C)(C[NH2:1])C1 428 0.666667 1 no yes yes no
OC(COCC1[CH2:1]O1)COCC1[CH2:1]O1.CC1(C)CC([NH2:1])CC(C)(C[NH2:1])C1 338.5 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CC(C)([NH2:1])C1CCC([NH2:1])([NH2:1])CC1 429.5 0.75 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1cccc([NH2:1])c1 471 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.[NH2:1]c1cccc([NH2:1])c1 433 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]C1CCC(CC2CCC([NH2:1])CC2)CC1 451 0.666667 1 no yes yes no
C(Oc1ccc(Cc2ccc(OCC3[CH2:1]O3)cc2)cc1)C1[CH2:1]O1.[NH2:1]C1CCC(CC2CCC([NH2:1])CC2)CC1 413 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1ccc([NH2:1])cc1 451 0.666667 1 no yes yes no
C(C1[CH2:1]O1)N(CC1[CH2:1]O1)c1ccc(Cc2ccc(cc2)N(CC2[CH2:1]O2)CC2[CH2:1]O2)cc1.[NH2:1]c1ccc([NH2:1])cc1 507 0.5 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.CCc1cc(Cc2cc(CC)c([NH2:1])c(CC)c2Cl)c(Cl)c(CC)c1[NH2:1] 445 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1ccc(cc1)C(=O)OCCCOC(=O)c1ccc([NH2:1])cc1 453 0.666667 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CC[NH:1]CC[NH:1]CC[NH:1]CC[NH2:1] 399 0.777778 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]CC[NH:1]CC[NH:1]CC[NH2:1] 415 0.75 1 no yes yes no
CC(C)(c1ccc(OCC2[CH2:1]O2)cc1)c1ccc(OCC2[CH2:1]O2)cc1.[NH2:1]c1ccc(Oc2ccc(cc2)S(=O)(=O)c2ccc(Oc3ccc([NH2:1])cc3)cc2)cc1 456 0.666667 1 no yes yes no
BrC(=[CH2:1])C=[CH2:1].BrC(=[CH2:1])C=[CH2:1] 241 0.5 7 no no yes no
BrC1=CC(=[CH2:1])C=CC1=[CH2:1].BrC1=CC(=[CH2:1])C=CC1=[CH2:1] 353 0.5 17 no no yes no
Brc1ccc([CH:1]=[CH2:1])cc1.Brc1ccc([CH:1]=[CH2:1])cc1 417 0.5 3 no no yes no
CC(C)(c1ccc([OH:1])cc1)c1cc(Cl)c(O[C:1](O)=O)c(Cl)c1.CC(C)(c1ccc([OH:1])cc1)c1cc(Cl)c(O[C:1](O)=O)c(Cl)c1 459 0.5 14 no no yes no
CC(C)(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1.Br[c:1]1ccc(cc1)S(=O)(=O)c1cc[c:1](Br)cc1 458 0.5 8 no no yes no
CC1=CC(=[CH2:1])C(C)=CC1=[CH2:1].CC1=CC(=[CH2:1])C(C)=CC1=[CH2:1] 373 0.5 17 no no yes no
CC1=CC(=[CH2:1])C=CC1=[CH2:1].CC1=CC(=[CH2:1])C=CC1=[CH2:1] 328 0.5 17 no no yes no
CC1CCCC(C)[C:1](=O)[O:1]1.CC1CCCC(C)[C:1](=O)[O:1]1 240 0.5 10 no no yes no
CC1[CH2:1][S:1]1.CC1[CH2:1][S:1]1 226 0.5 9 no no yes no
CCC(=[CH2:1])C=[CH2:1].CCC(=[CH2:1])C=[CH2:1] 197 0.5 7 no no yes no
CCC1=CC(=[CH2:1])C=CC1=[CH2:1].CCC1=CC(=[CH2:1])C=CC1=[CH2:1] 298 0.5 17 no no yes no
CC[Si:1](=[O:1])CC.CC[Si:1](=[O:1])CC 130 0.5 16 no no yes no
CN(C)c1ccc(cc1)[Si:1]1(C)[CH2:1]CC1.CN(C)c1ccc(cc1)[Si:1]1(C)[CH2:1]CC1 267 0.5 16 no no yes no
CN(C)c1ccc(cc1)[Si:1]1([CH2:1]CC1)c1ccccc1.CN(C)c1ccc(cc1)[Si:1]1([CH2:1]CC1)c1ccccc1 325 0.5 16 no no yes no
CS[CH:1]=[CH2:1].CS[CH:1]=[CH2:1] 272 0.5 4 no no yes no
C[CH:1]=CC=[CH2:1].C[CH:1]=CC=[CH2:1] 213 0.5 7 no no yes no
C[Si:1](=[O:1])CCC(F)(F)F.C[Si:1](=[O:1])CCC(F)(F)F 199 0.5 16 no no yes no
C[Si:1](=[O:1])c1ccccc1.C[Si:1](=[O:1])c1ccccc1 187 0.5 16 no no yes no
C[Si:1](C)=[CH2:1].C[Si:1](C)=[CH2:1] 173 0.5 16 no no yes no
C[Si:1](C)=[NH:1].C[Si:1](C)=[NH:1] 191 0.5 16 no no yes no
C[Si:1](C)=[O:1].C[Si:1](C)=[O:1] 152 0.5 16 no no yes no
C[Si:1](C1CCCCC1)=[Si:1](C)C1CCCCC1.C[Si:1](C1CCCCC1)=[Si:1](C)C1CCCCC1 366 0.5 16 no no yes no
C[Si:1](c1ccccc1)=[Si:1](C)c1ccccc1.C[Si:1](c1ccccc1)=[Si:1](C)c1ccccc1 390 0.5 16 no no yes no
C[Si:1]1(C)[CH2:1]CC1.C[Si:1]1(C)[CH2:1]CC1 203 0.5 16 no no yes no
C[Si:1]1([CH2:1]CC1)c1ccccc1.C[Si:1]1([CH2:1]CC1)c1ccccc1 243 0.5 16 no no yes no
C[Si](C)([OH:1])c1ccc(cc1)[Si](C)(C)[OH:1].O=[Si:1](c1ccccc1)c1ccccc1 273 0.5 16 no no yes no
Cc1c[cH:1]cc(C)c1[OH:1].Cc1c[cH:1]cc(C)c1[OH:1] 482 0.5 8 no no yes no
Cc1cc(C[OH:1])ccc1C(C)(C)c1ccc(O[C:1](O)=O)c(Cl)c1.Cc1cc(C[OH:1])ccc1C(C)(C)c1ccc(O[C:1](O)=O)c(Cl)c1 411 0.5 14 no no yes no
Cc1cc(cc(C)[c:1]1O)C(C)(C)c1ccc(cc1)-c1cc(C)c(OC(=O)c2ccc(cc2)C([OH:1])=O)c(C)c1.Cc1cc(cc(C)[c:1]1O)C(C)(C)c1ccc(cc1)-c1cc(C)c(OC(=O)c2ccc(cc2)C([OH:1])=O)c(C)c1 498 0.5 10 no no yes no
Cc1cc(cc[c:1]1O)C(C)(C)c1ccc(OC(=O)c2ccc(cc2)C([OH:1])=O)c(C)c1.Cc1cc(cc[c:1]1O)C(C)(C)c1ccc(OC(=O)c2ccc(cc2)C([OH:1])=O)c(C)c1 444 0.5 10 no no yes no
Cc1ccc(cc1)[Si:1]1([CH2:1]CC1)c1ccc(C)cc1.Cc1ccc(cc1)[Si:1]1([CH2:1]CC1)c1ccc(C)cc1 311 0.5 16 no no yes no
ClC(=[CH2:1])C=[CH2:1].ClC(=[CH2:1])C=[CH2:1] 225 0.5 7 no no yes no
ClC1=CC(=[CH2:1])C=CC1=[CH2:1].ClC1=CC(=[CH2:1])C=CC1=[CH2:1] 353 0.5 17 no no yes no
Cl[C:1](Cl)=O.CC(C)(c1c(Br)cc([OH:1])cc1Br)c1c(Br)cc([OH:1])cc1Br 523 0.5 14 no no yes no
Cl[C:1](Cl)=O.CC(C)(c1c(Cl)cc([OH:1])cc1Cl)c1c(Cl)cc([OH:1])cc1Cl 503 0.5 14 no no yes no
Cl[C:1](Cl)=O.CC(C)(c1ccc([OH:1])c(Cl)c1)c1ccc([OH:1])c(Cl)c1 419 0.5 14 no no yes no
Cl[C:1](Cl)=O.CC(C)(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 423 0.5 14 no no yes no
Cl[C:1](Cl)=O.CC(C)C(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 422 0.5 14 no no yes no
Cl[C:1](Cl)=O.CC(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 403 0.5 14 no no yes no
Cl[C:1](Cl)=O.CC(c1ccccc1)(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 449 0.5 14 no no yes no
Cl[C:1](Cl)=O.CCC(C)(c1ccc([OH:1])c(C)c1)c1ccc([OH:1])c(C)c1 392 0.5 14 no no yes no
Cl[C:1](Cl)=O.CCC(C)(c1ccc([OH:1])c(Cl)c1)c1ccc([OH:1])c(Cl)c1 415 0.5 14 no no yes no
Cl[C:1](Cl)=O.CCC(C)(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 407 0.5 14 no no yes no
Cl[C:1](Cl)=O.CCCC(C)(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 410 0.5 14 no no yes no
Cl[C:1](Cl)=O.CCCC(CCC)(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 421 0.5 14 no no yes no
Cl[C:1](Cl)=O.CCCC(c1ccc([OH:1])cc1)c1ccc([OH:1])cc1 396 0.5 14 no no yes no
